ID,Barcode,ProductName,Category,SearchDate,BranchID,Branch Name,ItemFoundStatus
2590,97897788009069789778800906,,,2025-03-15 15:44:13.713,2,Zamalek,Not Found
2591,9789778800906,مستقبل علم المصريات,10022-A History,2025-03-15 15:44:17.953,2,Zamalek,Found
2592,9789778800906,مستقبل علم المصريات,10022-A History,2025-03-15 15:44:24.583,2,Zamalek,Found
2593,9789778800906,مستقبل علم المصريات,10022-A History,2025-03-15 15:44:51.570,2,Zamalek,Found
2594,9781982160272,Principles for Deali,10219-E Popular Economics,2025-03-15 15:45:30.480,2,Zamalek,Found
2595,9780062872302,Never Split the Diff,10181-E General Business,2025-03-15 15:47:09.810,2,Zamalek,Found
2596,9798892790031,2025: HBR's 10 Must,10181-E General Business,2025-03-15 15:47:58.780,2,Zamalek,Found
2597,9789774169076,Bilhana,10206-E Middle Eastern Cookery,2025-03-15 15:56:05.150,14,Maadi,Found
2598,9781529034110,We Free the Stars,10348-YA Fantasy,2025-03-15 16:21:04.723,3,Heliopolis,Found
2599,9781616959333,Devils You Know,10394-YA DB,2025-03-15 16:21:24.093,3,Heliopolis,Found
2600,9786010025415,Space Washable Color,10053-Bags,2025-03-15 16:25:06.923,3,Heliopolis,Found
2601,9781853260087,Moby Dick,10151-E Classics,2025-03-15 16:26:35.420,3,Heliopolis,Found
2602,9780007527533,ABC Murders,10209-E Mystery & Thrillers,2025-03-15 16:27:26.500,3,Heliopolis,Found
2603,9781509860029,Paper Money,,2025-03-15 16:28:02.033,3,Heliopolis,Not Found
2604,9781509860029,Paper Money,,2025-03-15 16:28:16.200,3,Heliopolis,Not Found
2605,9781501144288,The Tommyknockers,,2025-03-15 16:28:39.263,3,Heliopolis,Not Found
2606,9781914240935,The Full Moon Coffee,10199-E Literary Fiction,2025-03-15 16:29:43.773,3,Heliopolis,Found
2607,9781471147524,What to Expect When,10223-E Pregnancy & Childbirth,2025-03-15 16:30:44.777,2,Zamalek,Found
2608,9780349432663,The Origins of You,10185-E General Psychology,2025-03-15 16:36:36.133,3,Heliopolis,Found
2609,9789776743861,قضية ست الحسن تحقيقا,10029-A Modern Fiction,2025-03-15 16:44:38.537,3,Heliopolis,Found
2610,9789779603339,قنبلة للاستخدام الشخ,10029-A Modern Fiction,2025-03-15 16:44:49.273,3,Heliopolis,Found
2611,9781974709946,Chainsaw Man 2,10370-YA Manga,2025-03-15 16:46:21.790,2,Zamalek,Found
2612,9789776633889,الشيطان والمياه المظ,10030-A Modern Translated Fiction,2025-03-15 16:55:49.107,3,Heliopolis,Found
2613,9786009920438,Tea Tree Oil 15 ML,10311-Natural Beauty,2025-03-15 16:59:33.953,2,Zamalek,Found
2614,9781529032178,Attached,10225-E Relationships,2025-03-15 16:59:53.487,2,Zamalek,Found
2615,9789770937594,المريضة الصامتة,10030-A Modern Translated Fiction,2025-03-15 17:02:49.413,3,Heliopolis,Found
2616,6222027704783,Ma Shaa Allah Bookma,10057-Bookmarks,2025-03-15 17:04:54.323,3,Heliopolis,Found
2617,9789948844761,Sophie's World,10183-E General Fiction,2025-03-15 17:06:32.490,2,Zamalek,Found
2618,9786010038691,Small Handmade Cards,10076-Cards,2025-03-15 17:08:25.817,2,Zamalek,Found
2619,9786010040267,كوستر خشب تيج,10130-Coasters,2025-03-15 17:09:16.620,2,Zamalek,Found
2620,9781101980385,It Didn't Start With,10220-E Popular Psychology,2025-03-15 17:10:02.090,2,Zamalek,Found
2621,9798893310153,Don't Believe Everyt,10185-E General Psychology,2025-03-15 17:10:08.113,2,Zamalek,Found
2622,9789774168680,Classic Egyptian Mov,10213-E Performing Arts,2025-03-15 17:16:54.170,2,Zamalek,Found
2623,9786009920894,Coconut Scrub for Fa,10311-Natural Beauty,2025-03-15 17:26:51.093,2,Zamalek,Found
2624,9783836529044,Matisse,10142-E Artists A-Z,2025-03-15 17:28:51.687,2,Zamalek,Found
2625,9783836580922,Basquiat,10142-E Artists A-Z,2025-03-15 17:29:01.820,2,Zamalek,Found
2626,9781785042737,The Myth Of Normal,10185-E General Psychology,2025-03-15 17:29:15.710,2,Zamalek,Found
2627,9780500023440,Chanel Catwalk,10173-E Fashion,2025-03-15 17:29:29.563,2,Zamalek,Found
